sample_accession,sample_title,patient_id,tissue,mean_within_tissue_correlation,review_threshold,review_flag
GSM494556,Lung Cancer 2T,2,Tumor,0.9174006228669802,0.8950210302839927,False
GSM494557,Lung Cancer 3T,3,Tumor,0.9328790608163645,0.8950210302839927,False
GSM494558,Lung Cancer 6T,6,Tumor,0.9174215727101201,0.8950210302839927,False
GSM494559,Lung Cancer 17T,17,Tumor,0.9298925420363698,0.8950210302839927,False
GSM494560,Lung Cancer 32T,32,Tumor,0.9406548658937595,0.8950210302839927,False
GSM494561,Lung Cancer 33T,33,Tumor,0.9304741591435778,0.8950210302839927,False
GSM494562,Lung Cancer 37T,37,Tumor,0.9249886204438036,0.8950210302839927,False
GSM494563,Lung Cancer 40T,40,Tumor,0.9073666044907511,0.8950210302839927,False
GSM494564,Lung Cancer 43T,43,Tumor,0.9344399453929435,0.8950210302839927,False
GSM494565,Lung Cancer 79T,79,Tumor,0.9374090627209843,0.8950210302839927,False
GSM494566,Lung Cancer 91T,91,Tumor,0.9428549387978994,0.8950210302839927,False
GSM494567,Lung Cancer 92T,92,Tumor,0.9421554044272541,0.8950210302839927,False
GSM494568,Lung Cancer 94T,94,Tumor,0.9376485948936305,0.8950210302839927,False
GSM494569,Lung Cancer 97T,97,Tumor,0.9325513901195214,0.8950210302839927,False
GSM494570,Lung Cancer 102T,102,Tumor,0.9310295343786364,0.8950210302839927,False
GSM494571,Lung Cancer 103T,103,Tumor,0.8815121682752349,0.8950210302839927,True
GSM494572,Lung Cancer 106T,106,Tumor,0.8865372169846016,0.8950210302839927,True
GSM494573,Lung Cancer 109T,109,Tumor,0.919562098924973,0.8950210302839927,False
GSM494574,Lung Cancer 114T,114,Tumor,0.9174329258386398,0.8950210302839927,False
GSM494575,Lung Cancer 115T,115,Tumor,0.9291441942952253,0.8950210302839927,False
GSM494576,Lung Cancer 116T,116,Tumor,0.9306080595710552,0.8950210302839927,False
GSM494577,Lung Cancer 117T,117,Tumor,0.9389709091212779,0.8950210302839927,False
GSM494578,Lung Cancer 118T,118,Tumor,0.9428597313768563,0.8950210302839927,False
GSM494579,Lung Cancer 119T,119,Tumor,0.9411220929411601,0.8950210302839927,False
GSM494580,Lung Cancer 120T,120,Tumor,0.944438597577543,0.8950210302839927,False
GSM494581,Lung Cancer 121T,121,Tumor,0.94311728566385,0.8950210302839927,False
